Правовой результат;+7–911–238–98–62;Санкт-Петербург, Большая Пороховская, 25;pravovojrezultat.ru;info@pravovojrezultat.ru
Правозащита, ООО;+7 (812) 407–23–40, +7–911–911–11–73;БЦ Мир, Санкт-Петербург, Ефимова, 4а;law-free.ru;
Байтен Буркхардт Санкт-Петербург;+7 (812) 449–60–00;Санкт-Петербург, Марата, 47;www.bblaw.com;
Ваш Юрист;+7 (812) 438–38–40, +7 (812) 294–00–09;Санкт-Петербург, Муринский 2-й проспект, 10 к1;www.vash-urist.spb.ru;
ЦБО;+7 (812) 458–44–86, +7 (812) 989–35–70, +7 (812) 578–83–25;Санкт-Петербург, Моисеенко, 22;www.centrbiznes.ru;cb-o@mail.ru
Адвокатский кабинет Полетаева Д.Н.;+7 (812) 605–00–47, +7–921–959–64–21;БЦ Мир, Санкт-Петербург, Ефимова, 4а;www.dnp1.ru;
Петроправо;+7 (812) 981–28–29, +7 (812) 981–29–69;Санкт-Петербург, Лиговский проспект, 87;petropravo.ru;
Virtus;+7 (812) 271–29–07;Санкт-Петербург, Новгородская, 25;www.virtus-spb.ru;
Бракмарт и Партнеры;+7 (812) 385–52–83;МФК Преображенский двор,Санкт-Петербург, Литейный проспект, 26 лит А;www.brakmart.ru;
Институт юридических технологий, ООО;+7–901–316–46–40, +7 (812) 578–13–20;Санкт-Петербург, Лиговский проспект, 43-45;www.spb-consult.ru;
Деловой консалтинг, ООО;+7 (812) 329–44–04;ДЦ Оптима,Санкт-Петербург, Торжковская, 5;delconsult.ru;
Amaday-Group;+7 (812) 677–63–37;Санкт-Петербург, Межевой канал, 1а;www.amaday-group.ru;
Адвокатский кабинет Малышевой В.А.;+7–931–256–37–07;д. Агалатово, Агалатово, 157;www.advocab.ru;
Центр делового развития и бизнес услуг;+7 (812) 337–11–10;Санкт-Петербург, 15-я линия В.О., 12 лит А;www.cb-spb.ru;info@cb-spb.ru
Всеволожский юридический центр;+7 (81370) 4–47–08, +7–921–745–47–08;Всеволожск, Олениных, 2 к1;vsevpravo.ru;
СПБАУ, ООО;+7 (812) 927–45–07, +7–911–927–45–07;Санкт-Петербург, Лиговский проспект, 256 к3;www.СПБАУ.рф;
Альянс Евразия;;ДК им.Газа,Санкт-Петербург, Стачек проспект, 72;alliance-eurasia.com;
Выписки24.рф;+7 (812) 648–24–48, +7 (812) 927–24–48;Санкт-Петербург;выписки24.рф;
АПраво;+7 (812) 951–86–01, +7 (812) 715–13–70, +7 (812) 715–37–15;МФК Преображенский двор,Санкт-Петербург, Литейный проспект, 26 лит А;;
Адвокатский кабинет Кононова О.Д.;+7–911–026–83–25;Санкт-Петербург, Восстания, 4;адвокатпитер.рф;
Гермес-Инфо, ООО;+7 (812) 642–01–97;Санкт-Петербург, Новгородская, 23;germesinfo.ru;
Мирзоев Групп, ООО;+7–960–283–96–09, +7 (812) 642–59–28;БЦ Сенатор,Санкт-Петербург, Красноармейская 6-я, 7;Mirzoev.pro;
Юрист Консалтинг;+7 (812) 401–00–00, +7–950–000–00–19;БЦ Содружество,Санкт-Петербург, Коломяжский проспект, 27;juristconsulting.ru;
Юрист Консалтинг;+7 (812) 401–00–00, +7–950–000–00–19;ДЦ Оптима,Санкт-Петербург, Торжковская, 5;juristconsulting.ru;
Центр делового развития и бизнес услуг;+7 (812) 337–11–10;Санкт-Петербург, Ивановская, 24 к2;www.cb-spb.ru;info@cb-spb.ru
Призывник;+7 (812) 719–85–26, +7 (812) 719–84–22;Санкт-Петербург, Захарьевская, 12;prizyv.net;
Эксперта, ООО;+7 (812) 401–40–30;БЦ НИИТМАШ,Санкт-Петербург, Караванная, 1;www.xperta.ru;
Спектр;+7 (812) 334–93–88;Санкт-Петербург, Большая Московская, 1;;
Центр юридических услуг, ООО;+7 (812) 777–10–00, +7 (812) 240–43–00;Санкт-Петербург, Красного Текстильщика, 10-12 лит О;;
ТИМ, ООО;+7 (812) 336–48–53, +7 (812) 336–48–54, +7 (812) 336–48–52;ТОЦ Андреевский двор,Санкт-Петербург, Большой проспект В.О., 18;teamgroupconsult.ru;
Бизнес-Гарант;+7 (812) 648–00–37, 8–800–707–51–98;БЦ Лиговский 266,Санкт-Петербург, Лиговский проспект, 266;bg-sp.ru;
Бухучет и право;+7 (812) 315–00–10, +7 (812) 961–26–50;БЦ Невский 30,Санкт-Петербург, Невский проспект, 30;9612650.ru;9612650@mail.ru
Ренессанс Эстейт, ООО;+7 (812) 921–30–56;Санкт-Петербург, Лиговский проспект, 43-45;www.renestate.ru;
Адвокатский кабинет №8;+7 (812) 388–70–55;Санкт-Петербург, Московский проспект, 127а;;
АРЕС;8–800–555–79–11;Санкт-Петербург, Рижский проспект, 70;www.ares.ru;
АВАНГАРД;+7 (812) 438–09–77, +7–911–834–20–67;Санкт-Петербург, Лиговский проспект, 107;;
Городской центр банкротства физических лиц;+7 (812) 401–62–50, +7 (812) 401–63–50;БЦ Stels,Санкт-Петербург, Боровая, 32;;
Гестион-Консалт;+7 (812) 612–00–71, 8–800–555–83–25, +7 (812) 677–11–82;Санкт-Петербург, Каменноостровский проспект, 40;www.gestion.ru;
ЦЕНЗОР, ООО;+7 (812) 572–46–55, +7 (812) 575–83–91;Санкт-Петербург, Коломенская, 5;www.cenzor.ru;
КД №1, ООО;+7 (812) 906–56–11;БЦ Сенатор,Санкт-Петербург, 7-я линия В.О., 76;kdn1.ru;
Бухгалтерский Центр, ООО;+7 (812) 642–70–64, +7 (812) 984–70–40;БЦ Лайнер,Санкт-Петербург, Вербная, 27 лит А;www.spbbu.ru;6424100@mail.ru
Юридическая консультация №59;+7 (812) 645–87–92;БЦ ГАП,Санкт-Петербург, Смолячкова, 19;;
Адвокатский кабинет Кочетовой Д.А.;+7–921–562–22–45;БЦ Инком,Санкт-Петербург, Лисичанская, 6;www.frontera-spb.ru;
Федерация юристов Санкт-Петербурга, ООО;+7 (812) 426–10–20;БЦ На Сенной,Санкт-Петербург, Спасский переулок, 14/35;fed24.ru;
ЮрФинЭксперт, ООО;+7 (812) 334–10–90;БЦ Re-forma,Санкт-Петербург, Левашовский проспект, 13;www.ufe.su;
ААКТИВ Бухгалтерско-Правовой Центр, ООО;+7–981–95–95–777, +7–951–420–78–09;Санкт-Петербург, Лиговский проспект, 50 к13;www.pravotax.ru;
Адвокатская консультация №27;+7 (812) 408–24–63;Санкт-Петербург, Звёздная, 8;;
АДВЕКОН;+7 (812) 534–16–43, +7–952–355–77–11;БЦ Гражданский 22,Санкт-Петербург, Гражданский проспект, 22;www.adveconspb.ru;
Адвокатская консультация №10;+7 (812) 273–34–34, +7 (812) 272–82–56;Санкт-Петербург, Литейный проспект, 33;;
Элантра;+7 (812) 331–80–62;БЦ Софийская 14,Санкт-Петербург, Софийская, 14;www.elantra-consult.ru;
НЭО Центр, АО;+7 (812) 337–22–37;БЦ Stels,Санкт-Петербург, Боровая, 32;www.neoconsult.ru;
Адвокатский кабинет Кравченко Е.А. и Берчанской М.Е.;+7 (812) 908–05–33, +7–911–093–93–38, +7 (812) 908–02–77, +7–911–021–04–01;Санкт-Петербург, Каменноостровский проспект, 40;opravdali.ru;
Адвокат-Lex;+7 (812) 493–39–02, +7 (812) 942–08–94, +7 (812) 941–75–29;Санкт-Петербург, Просвещения проспект, 67;advokat-lex.ru;
НАПРАВЛЕНИЕ;+7 (812) 580–79–12, +7–950–022–66–22;Санкт-Петербург, Подвойского, 38;directlex.ru;
Панорама;+7 (812) 649–00–22;Санкт-Петербург, Коломяжский проспект, 15 к1;www.anpanorama.ru;
Квадратный метр, ООО;+7 (812) 649–26–09, +7 (812) 322–70–37;Санкт-Петербург, Средний проспект В.О., 106;www.sredniy106.ru;
Пропискин;+7 (812) 952–51–53;ДЦ Владимирский,Санкт-Петербург, Щербаков переулок, 12;propiskin.ru;
Законное право;+7 (812) 904–34–26;БЦ На Сенной,Санкт-Петербург, Спасский переулок, 14;zakonnoepravo.ru;
Бизнес-Консалт, ООО;+7 (812) 449–42–90, +7 (812) 319–27–61;Санкт-Петербург, Варшавская, 9 к1;www.bkonsalt.ru;
Юридический альянс Петербурга;+7–911–760–59–59;МФК Преображенский двор,Санкт-Петербург, Литейный проспект, 26 лит А;uap-group.spb.ru;
Альфа-Омега, ООО;+7–960–252–41–04;Санкт-Петербург, Лиговский проспект, 43/45;;
S & K Вертикаль;+7 (812) 611–11–59;БЦ Невская Ратуша,Санкт-Петербург, Дегтярный переулок, 11 лит Б;www.skvlaw.ru;
ПроЭксперт, ООО;8–800–700–02–26, +7–964–386–28–90, +7 (812) 385–75–76;БЦ Маркусъ,Санкт-Петербург, 10-я линия В.О., 59;sro1expert.ru;
ПОТЕНЦИАЛ, ООО;+7–921–942–16–80, +7–951–659–06–49, +7 (812) 408–06–20;БЦ На Сенной,Санкт-Петербург, Спасский переулок, 14;потенциал-юф.рф;
Успешный старт;+7 (812) 980–38–49;ТОЦ Рубикон,Санкт-Петербург, Гражданский проспект, 119;gutstart.ru;
ГРАНТ-К;+7–962–689–66–89, +7 (812) 983–60–90, +7 (812) 309–88–96;БЦ Матисов остров,Санкт-Петербург, Александра Блока, 5;www.spbgrant.ru;
АФК-Аудит, ООО;+7 (812) 326–20–06;Санкт-Петербург, Шаумяна проспект, 10 лит А;www.afkgroup.com;
Питер-Консалт, ООО;+7 (812) 380–94–17, +7–960–267–40–13, +7 (812) 645–51–53, +7 (812) 380–94–20;Отель Москва,Санкт-Петербург, Александра Невского площадь, 2;piter-consalt.ru;
